Year, January, February, March, April, May, June, July, August, September, October, November, December, Total
1970,5.20,4.81,5.01,4.87,5.09,5.35,5.46,5.84,5.11,4.05,4.60,4.69,4.69
1971,4.93,5.38,5.47,5.87,5.87,5.71,5.11,5.58,5.67,5.74,5.34,4.96,4.96
1972,4.40,4.29,4.46,4.58,4.57,4.87,5.35,5.08,5.22,5.19,5.70,5.56,5.56
1973,6.62,7.16,7.52,8.54,9.47,9.56,11.95,13.00,15.16,16.56,17.23,21.37,21.37
1974,23.92,25.68,25.54,25.26,24.92,25.13,23.76,23.09,21.60,22.44,24.31,20.60,20.60
1975,17.92,15.95,15.79,15.20,15.83,16.65,15.91,15.69,15.22,13.56,11.27,11.31,11.31
1976,12.02,13.49,13.89,13.72,13.01,11.56,11.62,11.72,14.69,20.53,25.10,27.20,27.20
1977,28.77,29.19,30.17,31.22,31.45,32.53,32.91,34.35,32.22,26.13,22.00,20.66,20.66
1978,19.53,18.63,17.81,17.35,17.46,17.64,18.30,17.07,16.35,16.86,16.79,16.17,16.17
1979,17.68,17.68,18.05,17.80,18.18,17.87,17.31,17.91,18.01,18.63,18.93,20.02,20.02
1980,21.56,22.60,23.45,24.49,24.89,25.97,27.94,28.64,28.49,28.20,28.77,29.85,29.85
1981,27.80,27.98,28.08,28.72,28.57,27.83,26.55,26.54,27.47,28.36,28.60,28.68,28.68
1982,30.86,32.74,34.71,38.88,44.50,49.37,54.35,68.21,73.95,79.00,84.49,98.84,98.84
1983,110.04,112.95,115.39,117.25,114.61,112.50,112.08,98.08,93.83,90.39,91.87,80.78,80.78
1984,73.40,73.25,72.31,69.06,67.41,67.14,64.49,62.84,62.68,62.96,59.20,59.16,59.16
1985,60.75,59.04,58.43,56.53,55.10,53.43,53.73,56.02,57.55,58.02,59.82,63.75,63.75
1986,65.92,66.38,67.62,71.11,76.44,83.17,85.84,92.25,95.96,99.58,103.67,105.75,105.75
1987,104.34,109.76,113.69,120.86,125.00,126.73,133.44,133.88,135.18,141.00,143.65,159.17,159.17
1988,176.83,179.73,175.83,161.44,147.82,135.81,121.79,106.92,95.24,81.59,70.50,51.66,51.66
1989,34.56,25.89,21.05,19.20,18.54,17.58,16.81,16.85,17.30,18.13,18.21,19.70,19.70
1990,22.48,23.57,24.40,24.43,24.89,26.11,27.13,28.08,28.68,28.62,30.21,29.93,29.93
1991,27.11,26.46,26.04,25.45,24.51,23.10,21.97,20.76,20.25,19.92,19.72,18.79,18.79
1992,17.95,17.30,16.82,16.64,16.28,15.85,15.56,15.46,15.32,14.82,12.96,11.94,11.94
1993,11.32,10.91,10.44,10.09,10.00,9.87,9.70,9.62,9.48,9.14,8.72,8.01,8.01
1994,7.50,7.18,7.10,7.01,6.92,6.85,6.81,6.74,6.71,6.83,6.93,7.05,7.05
1995,10.23,14.31,20.43,29.39,34.15,37.72,39.91,41.57,43.48,45.66,48.46,51.97,51.97
1996,51.72,48.95,43.75,36.93,33.83,31.82,31.03,30.60,30.00,28.97,27.77,27.70,27.70
1997,26.44,25.64,24.46,22.33,21.23,20.35,19.70,19.18,18.76,18.24,17.77,15.72,15.72
1998,15.27,15.35,15.27,15.10,14.97,15.31,15.41,15.50,15.92,16.65,17.41,18.61,18.61
1999,19.02,18.54,18.26,18.23,18.01,17.39,17.04,16.58,15.83,14.91,13.92,12.32,12.32
2000,11.02,10.52,10.11,9.73,9.48,9.41,9.12,9.10,8.85,8.91,8.87,8.96,8.96
2001,8.11,7.09,7.17,7.11,6.95,6.57,5.88,5.93,6.14,5.89,5.39,4.40,4.40
2002,4.79,4.79,4.66,4.70,4.68,4.94,5.51,5.29,4.95,4.94,5.39,5.70,5.70
2003,5.16,5.52,5.64,5.25,4.70,4.27,4.13,4.04,4.04,3.96,3.98,3.98,3.98
2004,4.20,4.53,4.23,4.21,4.29,4.37,4.49,4.82,5.06,5.40,5.43,5.19,5.19
2005,4.54,4.27,4.39,4.60,4.60,4.33,4.47,3.95,3.51,3.05,2.91,3.33,3.33
2006,3.94,3.75,3.41,3.20,3.00,3.18,3.06,3.47,4.09,4.29,4.09,4.05,4.05
2007,3.98,4.11,4.21,3.99,3.95,3.98,4.14,4.03,3.79,3.74,3.93,3.76,3.76
2008,3.70,3.72,4.25,4.55,4.95,5.26,5.39,5.57,5.47,5.78,6.23,6.53,6.53
2009,6.28,6.20,6.04,6.17,5.98,5.74,5.44,5.08,4.89,4.50,3.86,3.57,3.57
2010,4.46,4.83,4.97,4.27,3.92,3.69,3.64,3.68,3.70,4.02,4.32,4.40,4.40
2011,3.78,3.57,3.04,3.36,3.25,3.28,3.55,3.42,3.14,3.20,3.48,3.82,3.82
2012,4.05,3.87,3.73,3.41,3.85,4.34,4.42,4.57,4.77,4.60,4.18,3.57,3.57
2013,3.25,3.55,4.25,4.65,4.63,4.09,3.47,3.46,3.39,3.36,3.62,3.97,3.97
2014,4.48,4.23,3.76,3.50,3.51,3.75,4.07,4.15,4.22,4.30,4.17,4.08,4.08
2015,3.07,3.00,3.14,3.06,2.88,2.87,2.74,2.59,2.52,2.48,2.21,2.13,2.13
